farm_name,state,city,county,county_source,address,postal_code,products,phone,email,website_url,facebook_url,instagram_url,source_names,source_urls,source_modified_date,retrieved_date,source_passes,current_release_match,review_status,notes
Circle L Enterprises,MS,Coila,Carroll,U.S. Census geocoder from public source address,"15426 Ms. Hwy 17 , Coila, Mississippi 38923",15426,"Greens; Pies and Cakes; Jellies and Jams; Fresh Squeezed Lemonade; Herbs; Tomatoes; Peppers; Okra; Squash; Cucumbers; Crafted Seasonings; Eggs; HERDS: basil, thyme, oregano, mints, sage, lemon grass, lemon balm, and other herbs.; Pork skins and Pork cracklins and Uncooked pork skins/cracklins",(662) 385-6223,circlelenterprise76@gmail.com,,https://www.facebook.com/circlelenterprises/,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/circle-l-enterprises/,2024-05-06,2026-07-15,1,,New candidate — needs independent verification,
CM Farms And Services LLC,MS,West Point,Clay,U.S. Census geocoder from public source address,"611 Lone Oak Rd , West Point , MS 39773",39773,Strawberries; Tomatoes; Pecans; Tomato plants; Peas; Squash; Onions,(662) 295-3135,chad.mccomic@gmail.com,,https://www.facebook.com/CMFarmsandServices,,Genuine MS — Grown,https://genuinems.com/directory/cm-farms-and-services-llc/,2025-12-30,2026-07-15,1,,New candidate — recent authoritative profile,
Coastal Beef Co.,MS,Moss Point,Jackson,U.S. Census geocoder from public source address,"6036 King Rd, Moss Point, MS 39562",39562,Whole Beef (Actual Product) 400lbs Approximately 400 lbs of beef; Half Beef (Actual Product) Approximately 200 lbs of beef; Quarter Beef (Actual Product) Approximately 100 lbs of beef; 50lb Family Box; 15lb Coastal Beef Sampler; 10lb Ground Beef; Assorted Sample Boxes; Custom Orders Available; Brand Merchandise,(228) 760-0502,sales@coastalbeefco.com,https://www.coastalbeefco.com,https://www.facebook.com/share/1BLnBqAdwR/?mibextid=wwXIfr,http://instagram.com/@COASTALBEEFCO,Genuine MS — Raised,https://genuinems.com/directory/coastal-beef-co/,2026-02-09,2026-07-15,1,Coastal Beef Co.,Existing release row — enrich/verify,
Colemans Farm LLC,MS,Lexington,Carroll,U.S. Census geocoder from public source address,"2547 CR75, Lexington, MS 39095",39095,Tomatoes; Tumeric; Lemon grass; Ginger; cucumber; Luffa; Comfrey; Squash,(703) 309-6226,colemansfarm18@gmail.com,https://www.colemansfarmproject.com/,https://www.facebook.com/COLEMANSFARM,,Genuine MS — Grown,https://genuinems.com/directory/colemans-farm-llc/,2025-04-30,2026-07-15,1,,New candidate — recent authoritative profile,
Cooper Farms and Vineyard LLC,MS,Morton,Scott,U.S. Census geocoder from public source address,"1011 Rushing Rd, Morton, MS 39117",39117,"Muscadine Jelly; Blackberry Jelly; Blackberries; Blueberries; Muscadines; Cantaloupe; Watermelons; Squash (all types); Peppers (all types); Corn (Yellow and White, Field and Sweet); Snap beans; Lettuce (leaf); Greens (All Types); Cucumber; Carrots; Peas (Various Types); Radishes; Eggplant; Red Potatoes; Califlower; Brocolli; Brussel Sprouts; Okra; Bok Choy; Kohlrabi; Swiss Chard; Spinach; Green Onions; Mizuna",(601)732-2908,cooperfarmsandvineyard@yahoo.com,,https://www.facebook.com/muscadinefruit/,,Genuine MS — Grown,https://genuinems.com/directory/cooper-farms-and-vineyard-llc/,2025-05-09,2026-07-15,1,,New candidate — recent authoritative profile,
COOPER FARMS & VINEYARD,MS,,,,1011 RUSHING ROAD,,"TOMATOES, SQUASH, CUCUMBERS, OKRA, EGGPLANT, PEAS, SNAPBEANS, PEPPERS, ONIONS, POTATOES, WINTER SQUASH, WATERMELONS, CANTALOUPES, CORN, BUTTERBEANS, BEETS, CARROTS, BROCCOLI, CABBAGE, CAULIFLOWER, BRUSSEL SPROUTS, LETTUCE, RADISH, KOHLRABI, ALL GREENS, HERBS & PLANTS, SWISS CHARD, BLACKBERRIES, BLUEBERRIES, MUSCADINES, STRAWBERRIES, AND OTHER SPECIALITY VEGETABLES & FRUITS.",(601) 732-2908,COOPERFARMSANDVINEYARD@YAHOO.COM,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=31,,2026-07-15,2,,New candidate — needs independent verification,
Coy Bee Company,MS,Wiggins,Forrest,U.S. Census geocoder from public source address,"358 Highway 13, Wiggins, MS 39577",39577,Russian Queens; Russian Nucs; Coastal Wildflower Honey,(601) 928-5865,steven@coybeecompany.com,https://www.coybeecompany.com,,,Genuine MS — Raised,https://genuinems.com/directory/coy-bee-company/,2023-09-05,2026-07-15,1,Coy Bee Company,Existing release row — enrich/verify,
Crooked Row Farms LLC,MS,Duck Hill,,,"792 Fisher Crossing , Duck Hill, MS 38925",38925,"Coturnix Quail, fertilized eggs; Coturnix Quail, pickled eggs; Coturnix Quail, chicks; Coturnix Quail, adults; Coturnix Quail, dressed; Silkie Chickens, fresh eggs; Silkie Chickens, fertilized eggs; Silkie Chickens, chicks; Silkie Chickens, adults; Pumpkins",(662) 310-4500,csykes@holmescc.edu,,,http://instagram.com/crooked_row_farms_llc,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/crooked-row-farms-llc/,2023-08-28,2026-07-15,1,,New candidate — needs independent verification,
Croom Farms,MS,Lucedale,George,U.S. Census geocoder from public source address,"4146 Old Hwy 63N, Lucedale, MS 39452",39452,Winter Squash; Summer Squash; Cabbage; Broccoli; Okra; Sweet Corn; Peas; Snap Beans; Cantaloupe; Watermelons; Banana Peppers; Jalapeños; Bell Peppers; Tomatoes; Sweet Potatoes; Potatoes; Cucumbers,(601) 508-8730,croomfarms@gmail.com,https://www.croomfarms.com/,https://www.facebook.com/croomfarms/,http://instagram.com/croomfarms,Genuine MS — Grown,https://genuinems.com/directory/croom-farms/,2024-04-08,2026-07-15,1,,New candidate — needs independent verification,
Cypress Point Pecans LLC,MS,Yazoo City,,,"9402 Mississippi 149 9402 Mississippi 149, Yazoo City, MS 39194",39194,shelled pecan halves; shelled pecan pieces; pecan oil,(769) 567-9077,todd@cypresspointpecans.com,https://www.cypresspointpecans.com,https://www.facebook.com/cypresspointpecans,,Genuine MS — Grown,https://genuinems.com/directory/cypress-point-pecans-llc/,,2026-07-15,1,,New candidate — needs independent verification,
Dabbs Farm,MS,Saucier,Harrison,PickYourOwn listing,,,"Blueberries, Christmas trees |",228-669-0029,,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
"Dannemann Farm, LLC",MS,Kiln,Hancock,PickYourOwn listing,,,"blueberries, porta-potties are available, picnic area |",228-255-5979,blueberriesms@gmail.com,,,,PickYourOwn — Southeast,https://www.pickyourown.org/MSse.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Delta Pride Catfish,MS,Isola,,,"299 South Street, Isola, Mississippi 38754",38754,Delta Pride farm-raised catfish fillets; Delta Pride farm-raised catfish whole fish; Delta Pride farm-raised catfish strips; Delta Pride farm-raised catfish steaks; Delta Pride farm-raised catfish breaded items; Delta Pride farm-raised catfish nuggets; Delta Pride farm-raised marinated catfish,662.962.3101,sales@countryselect.com,http://www.deltapride.com/,https://www.facebook.com/DeltaPrideCatfish/,http://instagram.com/deltapridecatfish,Genuine MS — Raised,https://genuinems.com/directory/delta-pride-catfish/,2026-01-05,2026-07-15,1,,New candidate — recent authoritative profile,
"Dixie Farms, LLC",MS,Waynesboro,Wayne,U.S. Census geocoder from public source address,"6 Babe Dawes Dr, Waynesboro, MS 39367",39367,Candles; Wall Decor; Honey Straws; T-shirts; British Labrador Retrievers; Beef; Timber,(601) 410-2946,dfarmsllcofms@gmail.com,http://dfarmsllc.com,https://www.facebook.com/Dixie-Farms-LLC-1745697548822978,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/dixie-farms-llc/,2026-04-28,2026-07-15,1,Dixie Farms,Possible existing alias — identity review,
DONNA CORKERN,MS,,,,102 Lisi Lane,,"Peas, Beans, Tomatoes, Cucumbers, Peppers, Lettus, Eggplant, Squash, Figs, Pecans, Okra, Green Onions, Blueberries, and Vegetable, Flower and Herb Plants.",,craftygal60@aol.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=90,,2026-07-15,2,,New candidate — needs independent verification,
Dowdle Family Farms,MS,Caledonia,Lowndes,U.S. Census geocoder from public source address,"1412 Seed Tick Rd, Caledonia, MS 39740",39740,Pastured Pork; Pasture Raised Beef; Honey and Honey Bees,(662) 435-0921,rob@dowdlefamilyfarms.com,https://dowdlefamilyfarms.com,,,Genuine MS — Raised,https://genuinems.com/directory/dowdle-family-farms/,2024-03-04,2026-07-15,1,Dowdle Family Farms,Existing release row — enrich/verify,
Down Home Milling Co.,MS,Holcomb,Grenada,U.S. Census geocoder from public source address,"10560 highway 8 West, Holcomb, MS 38940",10560,Grits; Cornmeal,(662) 299-8238,downhomemillingco@yahoo.com,,https://www.facebook.com/profile.php?id=100087297144442,http://instagram.com/downhomemillingco,Genuine MS — Grown,https://genuinems.com/directory/down-home-milling-co/,2023-01-18,2026-07-15,1,Down Home Milling Co.,Existing release row — enrich/verify,
Dry Bottom Farms and Nursery,MS,Weir,Choctaw,U.S. Census geocoder from public source address,"379 West Harris Road , Weir , Mississippi 39772",39772,Pumpkins; Seasonal flowers; Variety of produce; Tomatoes,(662) 552-6781,Drybottompumpkinpatch2018@gmail.com,,https://www.facebook.com/DryBottom/,,Genuine MS — Grown,https://genuinems.com/directory/dry-bottom-farms-and-nursery/,2020-09-25,2026-07-15,1,,New candidate — needs independent verification,
Dunsfield Heidrun Farm,MS,Moss Point,Jackson,U.S. Census geocoder from public source address,"16201 Lily Orchard Rd, Moss Point, Mississippi 39562",16201,Goat Milk Soap; Lotion and Tallow; Beard Products; Shampoo and Conditioner; Bath Bombs; Laundry Detergent,228-990-1024,dunsfieldheidrunfarm@yahoo.com,https://dunsfieldheidrunfarm.square.site/,https://www.facebook.com/dunsfieldheidrunfarm/,,Genuine MS — Raised,https://genuinems.com/directory/dunsfield-heidrun-farm/,2026-04-15,2026-07-15,1,Dunsfield Heidrun Farm,Existing release row — enrich/verify,
Dutch Creek Goat Farm,MS,,,,,,Goat cheese,(601) 526-1127,dutchcreekgoatfarm@gmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=255,,2026-07-15,2,,New candidate — needs independent verification,
Eight Acre Porch and Poultry LLC,MS,Terry,Hinds,U.S. Census geocoder from public source address,"1869 Flowers Road, Terry, Ms 39170",39170,Eggs,6017579314,megan.alexandria@ymail.com,,,,Genuine MS — Raised,https://genuinems.com/directory/eight-acre-porch-and-poultry-llc/,2026-06-18,2026-07-15,1,,New candidate — recent authoritative profile,
Ellis Farms,MS,,,,1071 MILLER ROAD,,"FRUITS: BLUEBERRIES, BLACKBERRIES, STRAWBERRIES, PLUMS, MUSCADINES, MELONS. VEGGIES: BEANS, TOMATOES, PEPPERS, CORN, LETTUCE, POTATOES, OKRA.",(601) 506-9222,gellis324gmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=34,,2026-07-15,2,,New candidate — needs independent verification,
Emma Wilder Farm,MS,Seminary,Jones,U.S. Census geocoder from public source address,"315 Louie Bullock Road, Seminary, Mississippi 39479",39479,Goat milk soap; Goat milk lotion; All natural candles; Raw honey; Beeswax lotion; Beeswax lip balm,(601) 255-3746,kimberly@emmawilderfarm.com,https://www.emmawilderfarm.com,https://www.facebook.com/emmawilderfarm/,http://instagram.com/emmawilderfarm,Genuine MS — Raised,https://genuinems.com/directory/emma-wilder-farm/,2025-01-25,2026-07-15,1,,New candidate — recent authoritative profile,
"Etta Hills Farm, LLC",MS,Etta,Lafayette,U.S. Census geocoder from public source address,"90 County Road 253, Etta, MS 38627",38627,"Grass Fed and Grass-finished Beef; Grass Fed and Finished Lamb; Pastured Pork; Pastured Poultry; Non-GMO, Non-Soy Pastured Eggs",(662) 484-4147,tabithafulgham@protonmail.com,https://www.ettahillsfarm.com/,https://www.facebook.com/ettahillsfarm,https://www.instagram.com/ettahillsfarmofficial/,Genuine MS — Raised,https://genuinems.com/directory/etta-hills-farm-llc/,2024-10-11,2026-07-15,1,Etta Hills Farm,Possible existing alias — identity review,
Eubanks Produce,MS,Lucedale,Greene,U.S. Census geocoder from public source address,"331 Produce Road, Lucedale, MS 39452",39452,Watermelon; Cantaloupe; Squash; Bell Pepper; Cucumbers; Eggplant; Tomatoes; Zucchini,(601) 947-9661,info@eubanksproduce.com,http://www.eubanksproduce.com/,https://www.facebook.com/EubanksProduce/,,Genuine MS — Grown,https://genuinems.com/directory/eubanks-produce/,2024-09-03,2026-07-15,1,Eubanks Produce,Existing release row — enrich/verify,
"Faithful Fruits Farm, LLC",MS,Mt Olive,Simpson,U.S. Census geocoder from public source address,"295 Zionell Rd. 295 Zionell Rd. , Mt Olive , MS 39119",39119,Pure Raw Honey,(769) 299-6114,kaciewa29@gmail.com,,,,Genuine MS — Raised,https://genuinems.com/directory/faithful-fruits-farm-llc/,2025-09-17,2026-07-15,1,,New candidate — recent authoritative profile,
Falkner Farms,MS,Oxford,Lafayette,U.S. Census geocoder from public source address,"76 Highway 328, Oxford, MS 38655",38655,Grass Fed and Grass Finished Beef; Pasture Raised Chicken Eggs,(662) 832-2874,falknerfarmsms@gmail.com,https://www.falknerfarms.com/,https://www.facebook.com/FalknerFarms,http://instagram.com/falknerfarms,Genuine MS — Raised,https://genuinems.com/directory/falkner-farms/,,2026-07-15,1,Falkner Farms,Existing release row — enrich/verify,
Farmer Browns Southern Farm,MS,Saucier,Harrison,U.S. Census geocoder from public source address,"19162 Borzik Rd, Saucier, MS 39574",19162,produce; culinary herbs; Pork pastured; Poultry pastured; Eggs pastured; Turkey; Rabbit,(228) 365-2789,eabfrmr@gmail.com,,https://www.facebook.com/farmerbrownssouthernfarm/,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/farmer-browns-southern-farm/,2020-06-10,2026-07-15,1,,New candidate — needs independent verification,
First Fruits Farm,MS,,Pike,PickYourOwn listing,,,"blueberries, blackberries, | Highway",601-810-3606,almadripps@live.com,,,,PickYourOwn — Southwest,https://www.pickyourown.org/MSsw.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Flavourful Fungi,MS,,,,,,Other,(601) 750-3638,floavourfulfungi@yahoo.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=281,,2026-07-15,2,,New candidate — needs independent verification,
Flower Farm and Cottage,MS,Madison,Madison,U.S. Census geocoder from public source address,"164 Trace Cove Drive, Madison, Mississippi 39110",39110,"Florist Quality Cut Flowers; Floral Design for any occasion; Floral services such as banquet, wedding, holiday and other floral services.; Free flower growers training and selling locations",(601) 672-0755,dyowell@aol.com,,https://www.facebook.com/Flower-Farm-and-Cottage-100191078877233,,Genuine MS — Grown,https://genuinems.com/directory/flower-farm-and-cottage/,2023-06-14,2026-07-15,1,,New candidate — needs independent verification,
Foot Print Farms,MS,Jackson,Hinds,U.S. Census geocoder from public source address,"4945 South Dr., Jackson, MS 39209",39209,Strawberries; Cantaloupe; Watermelon; Basil; Parsley; Cilantro; Parsley; Zucchini; Squash; Cucumber; Tomatoes; Okra; Onions; Garlic; Collards; Mustard Greens; Cabbage; Eggplant; Hot and Mild Peppers; Green Peppers; Turnips; Collards; Kohlrabi; Beets; Callaloo,(601) 668-5583,footprintfarmsms@gmail.com,https://footprintfarmsms.com/,https://www.facebook.com/footprintfarmsms/,http://instagram.com/footprintfarms,Genuine MS — Grown | Genuine MS — Raised | MDAC Mississippi Farmers Market vendors,https://genuinems.com/directory/foot-print-farms/ | https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=125,2020-05-20,2026-07-15,1 | 2,,New candidate — multi-source review,
Free State Beef and Cattle,MS,Scobey,Tallahatchie,U.S. Census geocoder from public source address,"8240 Tallaha Road, Scobey, MS 38953",38953,Freezer beef,(901) 371-7722,fireandems92@gmail.com,,,,Genuine MS — Raised,https://genuinems.com/directory/free-state-beef-and-cattle/,2026-03-24,2026-07-15,1,Free State Beef and Cattle,Existing release row — enrich/verify,
Fresh Grown Farm,MS,,,,,,Lettuce Kale Radishes Turnips Bok Choy,,msfarmer@outlook.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=272,,2026-07-15,2,Fresh Grown Farm,Existing release row — enrich/verify,
FreshGrown Farm,MS,Jackson,Hinds,U.S. Census geocoder from public source address,"1489 South McRaven Road,, Jackson, MS 39209",39209,Salad Mix; Tomatoes; Sweet corn; Spinach; Brocolini; Cabbage; Kale; Turnips; Radishes; Carrots; Onions; Peppers; Herbs; Beets; Eggplant; Blueberries; Watermelon; Bok Choy; Arugula,(601) 966-6011,msfarmer@outlook.com,https://www.freshgrownfarm.com,https://www.facebook.com/freshgrownfarm,http://instagram.com/fresh_grown_farm,Genuine MS — Grown,https://genuinems.com/directory/freshgrown-farm/,2025-11-25,2026-07-15,1,,New candidate — recent authoritative profile,
Fulmers Farmstead and General Store,MS,Beaumont,Perry,U.S. Census geocoder from public source address,"510 Wingate Rd PO BOX 630, Beaumont, MS 39476",39476,"Homemade Breads, Cakes, Pies, Muffins, Turnovers, Cookies, Cinnamon rolls; Produce; Jams and Jellies; Cheese, Milk, Eggs, Butter; Bulk Candy; Spices and Herbs; Home Decor; Gifts",(601) 964-8222,fulmersgeneral@gmail.com,http://www.fulmersfarmstead.com/,https://www.facebook.com/fulmersgeneralstore/,http://instagram.com/fulmersfarmstead,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/fulmers-farmstead-and-general-store/,2025-05-02,2026-07-15,1,,New candidate — recent authoritative profile,
Gatewood Blueberry Farm,MS,Forest,Scott,PickYourOwn listing,,,blueberries |,(601) 513-2660,,,,,PickYourOwn — East Central,https://www.pickyourown.org/MSeast.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Geneva Springs Farm,MS,Pickens,Madison,U.S. Census geocoder from public source address,"278 Dinkins Road, Pickens, MS 39146",39146,Aji Mango Pepper Sauce (mild); Aji Lemon Pepper Sauce (medium); Ethiopian Brown Berbere Pepper Sauce (mild); Trinidad 7 Pod Pink Pepper Sauce (hot); Great White Habanero Pepper Sauce (hot); Mariachi Pepper Sauce (mild); Aji Crystal Pepper Flakes (hot); Hot Portugal Pepper Flakes (medium); Tabasco Pepper Sauce (hot); Chile de Agua Pepper Flakes (mild); Orange Jalapeno Pepper Flakes (mild); Gorria Pepper Flakes (mild); Elephant Ears Pepper Flakes (sweet); Ethiopian Brown Berbere Pepper Flakes (medium); Mariachi Pepper Flakes (mild); Tequila Pepper Flakes (sweet); Sugar Rush Peach Pepper Sauce (hot); Aji Fantasy White Pepper Flakes (sweet with mild heat); Senise Pepper Flakes (mild); Ancho Magnifica Pepper Flakes (medium),(601) 672-7274,oldmcgarner@yahoo.com,https://genevaspringsfarm.org,,,Genuine MS — Grown,https://genuinems.com/directory/geneva-springs-farm/,2023-12-14,2026-07-15,1,,New candidate — needs independent verification,
George (Sonny) Magee,MS,"Oak Vale, Ms.",Jefferson Davis,U.S. Census geocoder from public source address,"559 Park Fortenberry Rd. , Oak Vale, Ms. 39656",39656,Farm Raised grain feed Natural Beef,(601) 259-9860,smageefarms@gmail.com,,https://www.facebook.com/Magee-Farms-Oakvale-Mississippi-108164994253819/,,Genuine MS — Raised,https://genuinems.com/directory/george-sonny-magee/,2020-09-08,2026-07-15,1,,New candidate — needs independent verification,
Golden S Farms,MS,Mendenhall,Simpson,U.S. Census geocoder from public source address,"575 Simpson Hwy 540, Mendenhall, Mississippi 39114",39114,Brangus show cattle (heifers and bulls); Brangus herd bulls; Registered Brangus & Commercial replacement heifers; Brangus Genetics; Hay- round bales; Grass fed beef (on hoof),(601) 421-1727,goldensfarms@yahoo.com,,https://www.facebook.com/goldensfarmsofmendenhall,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/golden-s-farms/,2024-06-19,2026-07-15,1,,New candidate — needs independent verification,
"Golden Valley Doodles, Inc.",MS,Morton,Scott,U.S. Census geocoder from public source address,"915 Hattie Wallace Rd, Morton, MS 39117",39117,Goldendoodles; Sheepadoodles; Aussiedoodles,(601) 900-2991,shannon@goldenvalleydoodles.com,https://www.goldenvalleydoodles.com/,https://www.facebook.com/goldenvalleydoodles/,http://instagram.com/goldenvalleydoodles,Genuine MS — Raised,https://genuinems.com/directory/golden-valley-doodles-inc/,2023-06-15,2026-07-15,1,,New candidate — needs independent verification,
Good Earth Eats,MS,Coxburg,,,"Ebenezer Coxburg Road, Coxburg, MS 39095",39095,Bacon; Sausage; Ham; Ribs; Boston Butt; Pork Chop; Lard,6625712478,goodeartheatsllc@gmail.com,,,,Genuine MS — Raised,https://genuinems.com/directory/good-earth-eats/,2026-07-13,2026-07-15,1,,New candidate — recent authoritative profile,
Granny Springs Farm,MS,Foxworth,Marion,MDAC listing,,,Providing Cucumbers; Potatoes; Tomatoes; Zucchini; Lettuce; Okra; Peas; Peppers; Onions; Squash,(402) 216-7617,grannyspringsfarm@gmail.com,,https://www.facebook.com/people/Granny-Springs-Farm/61562642237924/,,MDAC Mississippi Farm Marketplace,https://agnet.mdac.ms.gov/MarketPortal/MarketPortal,,2026-07-15,2,,New candidate — needs independent verification,
Grazing Way Farm,MS,Ellisville,Jones,U.S. Census geocoder from public source address,"1837 Hwy 588, Ellisville, MS 39437",39437,"Corn meal; Grits; Lamb; Vegetables; Tomatoes; Free Range, Cage Free Eggs; Wood Crafts; Baked Goods; Canned Goods",8322868609,grazingwayfarm@gmail.com,https://app.barn2door.com/grazingwayfarm/all,https://www.facebook.com/grazingwayfarm,,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/grazing-way-farm/,2024-06-03,2026-07-15,1,,New candidate — needs independent verification,
Great Southern Farms,MS,Richton,Perry,U.S. Census geocoder from public source address,"1729 Highway 15, Richton, MS 39476",39476,Blueberries; Blackberries,(601) 788-1990,greatsouthernfarms08@gmail.com,,https://www.facebook.com/greatsouthernfarms/,http://instagram.com/greatsouthernfarms,Genuine MS — Grown,https://genuinems.com/directory/great-southern-farms/,2023-07-24,2026-07-15,1,,New candidate — needs independent verification,
"Green Acres Creamery, LLC",MS,Saucier,Harrison,U.S. Census geocoder from public source address,"25119 Hwy 53, Saucier , MS 39574",25119,Whole Cream Line milk; Ice cream; Ice Cream Pies; Jams; Meats,(228) 860-2479,Aprilbond88@yahoo.com,https://www.greenacrescreamery.net/,https://www.facebook.com/greenacrescreamery/,,Genuine MS — Raised,https://genuinems.com/directory/green-acres-creamery-llc/,2024-10-11,2026-07-15,1,,New candidate — needs independent verification,
Hays Berry Farms,MS,Dumas,Union,PickYourOwn listing,,,"Registered naturally grown , blackberries, blueberries, carrots, cucumbers, peas, Honey from hives on the farm, school tours |",662-538-2899,rlhays25@gmail.com,,,,PickYourOwn — North,https://www.pickyourown.org/MSnorth.htm,,2026-07-15,3,,New candidate — needs independent verification,Conservative import: listing was not marked closed; confirm activity before promotion.
Heartland Catfish Company,MS,Itta Bena,Leflore,U.S. Census geocoder from public source address,"55001 Highway 82 West, Itta Bena, Mississippi 38941",55001,Whole Catfish; Catfish Steaks; Catfish Shank Fillets; Catfish Split Fillets; Catfish Fillet Strips; Catfish Nuggets; Hushpuppies,(662) 254-7100,social.network@heartlandcatfish.com,http://www.heartlandcatfish.com,https://www.facebook.com/iHeartCatfish/,http://instagram.com/HeartlandCatfishCo,Genuine MS — Raised,https://genuinems.com/directory/heartland-catfish-company/,2024-06-05,2026-07-15,1,,New candidate — needs independent verification,
Heavenly Trace Farm and Orchard LLC,MS,Madison,Madison,U.S. Census geocoder from public source address,"201 Palmers Ct 884 Attala Hwy 43 Kosciusko, MS 39090, Madison, MS 39110",39090,Fruit; Vegetables; Nursery Plants; Timber,(601) 397-1643,john@heavenlytrace.com,https://www.Heavenlytrace.com,Heavenly Trace Farm and Orchard,,Genuine MS — Grown,https://genuinems.com/directory/heavenly-trace-farm-and-orchard-llc/,2026-03-03,2026-07-15,1,,New candidate — recent authoritative profile,
Henderson Farms,MS,Liberty,Amite,U.S. Census geocoder from public source address,"4706 Austin Ln, Liberty, Mississippi 39645",39645,Quart (44oz) glass jar honey; Pint (22oz) glass jar honey; 24 oz Bear (plastic) honey; 12 oz Bear (plastic) honey; Seasonal-Honeycomb,(601) 248-7394,tonihenderson2@msn.com,,https://www.facebook.com/henderbeefarmshoney/,,Genuine MS — Raised,https://genuinems.com/directory/henderson-farms/,2026-01-05,2026-07-15,1,,New candidate — recent authoritative profile,
"Henderson Heritage Homestead, LLC",MS,Bailey,Lauderdale,U.S. Census geocoder from public source address,"4755a Trick Talbert Road, Bailey, Mississippi 39320",39320,"Farm Fresh Chicken Eggs; Goats; Live Poultry (Standard, Bantams, Specialty Breeds, Rare Breeds); Baby chicks (Farm Raised); Started Pullets; Breeding Poultry Pairs & Trios",(601) 692-6105,sacia.henderson@yahoo.com,,,,Genuine MS — Raised,https://genuinems.com/directory/henderson-heritage-homestead-llc/,2026-03-18,2026-07-15,1,Henderson Heritage Homestead,Possible existing alias — identity review,
Hickory Heal Farm,MS,Maben,Oktibbeha,U.S. Census geocoder from public source address,"1186 North County Line Rd, Maben, Mississippi 39750",39750,Grass-fed and Grass-Finished Beef; Pastured Pork; Pastured Lamb; Herbal Teas; Herbal Oils and Skin Care; Medicinal Plants,(662) 263-3023,hickoryhealfarm@protonmail.com,https://www.hickoryhealfarm.com,https://www.facebook.com/hickoryhealfarm,http://instagram.com/hickory_heal_farm,Genuine MS — Grown | Genuine MS — Raised,https://genuinems.com/directory/hickory-heal-farm/,2023-05-11,2026-07-15,1,Hickory Heal Farm,Existing release row — enrich/verify,
High Heeled Hippie,MS,,,,209 Reynolds Rd.,,"Lots of heirloom & historical Southern varieties of tomatoes, watermelons, muskmelons & cantaloupe, lettuce, tradictional Southernns & various specialty greens. NEW: Easter Egg Radishes.",(601) 813-7288,thehighheeledhippie@hotmail.com,,,,MDAC Mississippi Farmers Market vendors,https://agnet.mdac.ms.gov/Website/FarmerMarket_VendorView.aspx?PassedID=4,,2026-07-15,2,,New candidate — needs independent verification,
High Hill Ranch,MS,Union,Neshoba,U.S. Census geocoder from public source address,"12341 Hwy 492 East, Union, Mississippi 39365",12341,"Goat Milk; Goat Cheeses; Goat Milk Soap, Lotions",(601) 562-3243,highhillranch3@yahoo.com,,https://www.facebook.com/High-hill-ranchGoat-MilkSoapCheese-181662622019176/,,Genuine MS — Raised,https://genuinems.com/directory/high-hill-ranch/,2019-01-07,2026-07-15,1,,New candidate — needs independent verification,
High Hope Farm,MS,Cedar Bluff,Clay,U.S. Census geocoder from public source address,"731 Milam Road, Cedar Bluff, MS 39741",39741,Grass-fed Beef and Lamb,(662) 295-3986,johnnywray17@gmail.com,http://highhopefarm.com/,https://www.facebook.com/High-Hope-Farm-267376876644645,,Genuine MS — Raised,https://genuinems.com/directory/high-hope-farm/,2025-09-09,2026-07-15,1,,New candidate — recent authoritative profile,
