candidate_key,observation_count,farm_names,source_names,cities,counties,review_status,observation_ids
oakview farms,2,OAKVIEW FARMS | Oakview Farms,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Wetumpka,Elmore,merged_exact_name_single_geography,alobs_5838a029292ad8e9a797 | alobs_c9af7e888efaee4c11f2
oliver farms,2,Oliver Farms,PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Russellville,Franklin,merged_exact_name_single_geography,alobs_7aba616bfd0f6f19b669 | alobs_1bb8cff8730250702a08
over easy acres,2,Over Easy Acres,PickYourOwn — North Alabama | Sweet Grown Alabama — Farm members,Albertville,DeKalb | Marshall,merged_cross_county_shared_identity_preferred_geography,alobs_102f9d8d33f034a966a4 | alobs_69e7ce688ca8eb4c9f17
pacsirta farms,2,Pacsirta Farms,Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,Gadsden,Etowah,merged_exact_name_single_geography,alobs_340baf735f952b2812f6 | alobs_b732e5898800c2a37676
passions farm,3,Passions Farm | PASSIONS FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Ramer,Montgomery,merged_exact_name_single_geography,alobs_d61e6746aed222d4c11d | alobs_75380f3c51dac5325dd3 | alobs_4d9394ef8b3c70c7b4ba
peebles farm,2,PEEBLES FARM | Peebles Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama,Lillian,Baldwin,merged_exact_name_single_geography,alobs_b982f7ec12321476af9b | alobs_c94d3460638311e02ccb
peggy baker and norman fennell,2,PEGGY BAKER & NORMAN FENNELL | Peggy Baker and Norman Fennell,Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama,Hackleburg,Franklin,merged_exact_name_single_geography,alobs_daa28ddb421dfd038bd8 | alobs_58c53b24ccc81434edc9
penton farms,2,PENTON FARMS | Penton Farms,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Verbena,Autauga | Chilton,merged_cross_county_shared_identity_preferred_geography,alobs_b55b72013703e6474289 | alobs_08c32577b3aff740c75a
perdido vineyards,2,Perdido Vineyards | PERDIDO VINEYARDS,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map,Perdido,Baldwin,merged_exact_name_single_geography,alobs_9dfa0eda294e3a56ed47 | alobs_a440474a37a31f5804a4
petals from the past,5,Petals from the past | Petals From The Past | PETALS FROM THE PAST | Petals from the Past | Petals From the Past,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Jemison,Chilton,merged_exact_name_single_geography,alobs_5571fd9af255e7a18fd6 | alobs_7e33d73a1f1a34433808 | alobs_0f8be26a637e2a7278af | alobs_c436885184f3aeca40c6 | alobs_f35e54136bbdfa228e0f
pie valley farm,2,Pie Valley Farm | PIE VALLEY FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map,Woodville,Madison,merged_exact_name_single_geography,alobs_dcdca7390b0aafa9a0b5 | alobs_3d5639efd8844d376892
pierce farms,2,Pierce Farms,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Clanton,Chilton,merged_exact_name_single_geography,alobs_cbb1bc0f68dbbedcd7e3 | alobs_a5dfc5345285a1a9fd06
plant in faith farm,2,Plant In Faith Farm | PLANT IN FAITH FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Millport,Lamar,merged_exact_name_single_geography,alobs_6a32fd4c4e31bd877dde | alobs_668f8b223b2f606882a9
pleasant pastures,2,Pleasant Pastures,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Andalusia,Covington,merged_exact_name_single_geography,alobs_ccf4cd58decf002221bc | alobs_c06ab64868a4c22c5da1
pounds meat wagon,2,Pounds Meat Wagon,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Mathews | Grady,Montgomery,merged_exact_name_single_geography,alobs_0555dfbf98ba44dee2c1 | alobs_f73179025d982c8c6208
powell blueberry farm,3,POWELL BLUEBERRY FARM | Powell Blueberry Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama | Sweet Grown Alabama — Farm members,Citronelle,Mobile,merged_exact_name_single_geography,alobs_6ab24ada2270eef2250e | alobs_f9757411deea337115f6 | alobs_002dd73a421e62a7b3c3
r and r peach farm,2,R&R Peach Farm | R & R PEACH FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Fort Payne,DeKalb,merged_exact_name_single_geography,alobs_ceed0ecd1c4be97049ad | alobs_968acf53ccbfc377601d
redtide farms and apiary,2,"Redtide Farms and Apiary | Redtide Farms & Apiary, LLC",Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,Wetumpka,Elmore,merged_exact_name_single_geography,alobs_68852680ef7ef7460853 | alobs_92e13e632850f3d4919a
reeves farm,2,Reeves Farm | REEVES FARM,Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Hartselle,Morgan,merged_exact_name_single_geography,alobs_8b73f5526d0b001cbf72 | alobs_e6268a7e9053a7b74d97
rl and m cattle company,2,RL&M Cattle Company,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Cusseta | Opelika,Chambers,merged_exact_name_single_geography,alobs_1fa579f0a2f8c928f9ae | alobs_87d8a8545c5adf360f97
rockin u farm,2,Rockin' U Farm | Rockin’ U Farm,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Lineville,Clay,merged_exact_name_single_geography,alobs_3858aa0707003875eeed | alobs_9e9dd5f531c2b317dbb2
rogers berry farm,2,ROGERS BERRY FARM | Rogers Berry Farm,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Goodwater,Coosa,merged_exact_name_single_geography,alobs_b4f39cb6768f6bb4bd63 | alobs_3ba6ba0ce75d9f9ca6f6
s and j produce farms,3,S&J Produce Farms | S & J Produce Farms | S&J Produce Farms LLC,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Madison,Madison,merged_exact_name_single_geography,alobs_26f40a9ae3e1bfbb3792 | alobs_c582567436ba39768869 | alobs_5e9df33ec0e784e20515
sawyers produce,2,Sawyer’s Produce | Sawyers Produce,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Malvern,Geneva,merged_exact_name_single_geography,alobs_f64afb1e2e1d23912db7 | alobs_463b9b624de21d13fa96
scotts orchard,4,Scott’s Orchard | Scott's Orchard | SCOTTS ORCHARD | Scotts Orchard,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama,Hazel Green,Madison,merged_exact_name_single_geography,alobs_44004aba2d38fc611c6b | alobs_80f4cfc641e40a4716b9 | alobs_a9cc1f840b22f2eadf08 | alobs_7d65892b8c7812cdb171
sessions farm market,2,Sessions Farm Market,Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Grand Bay,Mobile,merged_exact_name_single_geography,alobs_2a2485c7c4b9bdd3aebe | alobs_e039992dffbdb4096f85
settin rock farm,2,Settin’ Rock Farm | SETTIN' ROCK FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Centre,Cherokee,merged_exact_name_single_geography,alobs_2882f0966a4d5cd02b5e | alobs_68c689b84522f4163f7b
shady grove road blueberry patch,2,Shady Grove Road Blueberry Patch | Shady Grove Road Blueberry Patch LLC,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Tuskegee,Macon,merged_exact_name_single_geography,alobs_eb512dc026aac9f81e6a | alobs_6daba078c6cbb8b97d21
smith tomato,2,"SMITH TOMATO LLC | Smith Tomato, LLC",Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Steele,St. Clair,merged_exact_name_single_geography,alobs_b3ddd6a34bca8cbfbde3 | alobs_f36945ba7295270ea3af
smiths farm and ranch,3,Smiths Farm & Ranch | SMITHS FARM & RANCH | Smith's Farm and Ranch,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Sweet Grown Alabama — Farm members,Tuskegee,Macon,merged_exact_name_single_geography,alobs_3e1730d2387583eb8f77 | alobs_d1f371c9e766e8733240 | alobs_94781302c1139032e2b6
southern orchards,3,SOUTHERN ORCHARDS | Southern Orchards,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southwest Alabama | Sweet Grown Alabama — Farm members,Mobile,Mobile,merged_exact_name_single_geography,alobs_0f081d5b9bb863396d11 | alobs_9910ac250d62da49f222 | alobs_c43cfc0b122684058d8a
southern sweet bee,2,Southern Sweet Bee LLC | Southern Sweet Bee,Alabama Plant Protection — Beekeepers Selling Bees | Sweet Grown Alabama — Farm members,Hope Hull,Montgomery,merged_exact_name_single_geography,alobs_224314427eaa0ec6d301 | alobs_551828892897622c1a6a
spradlin farm,2,Spradlin Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Vinemont,Cullman,merged_exact_name_single_geography,alobs_8182060daf85127addbe | alobs_33c5dab8be51ef9c0006
stateline produce,3,Stateline Produce | STATELINE PRODUCE,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map | Alabama Farmers Market Authority — u-pick map,Slocomb,Houston,merged_exact_name_single_geography,alobs_6c1948811399cb460006 | alobs_84f9dfe95f28bce3bc0b | alobs_0cd92bea20eb76b51731
steele orchard,3,"Steele Orchard | STEELE ORCHARD, INC",Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Cullman,Cullman,merged_exact_name_single_geography,alobs_624f81d9c4d142fbc2e7 | alobs_7d79422790022ff5132f | alobs_b07a0bddee3b8ba88c22
sullivan creek ranch,2,Sullivan Creek Ranch,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Vinemont,Cullman,merged_exact_name_single_geography,alobs_c5c44d80506004923717 | alobs_c7d65e23c828a75607de
sweatmons,2,Sweatmon’s | Sweatmon's,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Crane Hill,Cullman,merged_exact_name_single_geography,alobs_aca34714abe5a04324dc | alobs_7e43edd408d1b5e744a3
sweet creek farm market,2,Sweet Creek Farm Market,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Pike Road,Montgomery,merged_exact_name_single_geography,alobs_23330fcaf3d4dd6243a5 | alobs_ae6453a24bdd4f12992a
sweet pickins farm,3,Sweet Pick’ins Farm | SWEET PICK'INS FARM | Sweet Pick'ins Farm,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — Southeast Alabama,Dadeville,Tallapoosa,merged_exact_name_single_geography,alobs_53ddc3db4c1d2499e8a6 | alobs_8b205f4a8d0d63a7baaf | alobs_70682e4fe2a86d1fb515
the blueberry patch,2,The Blueberry Patch | THE BLUEBERRY PATCH,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map,Grant,Marshall,merged_exact_name_single_geography,alobs_fa21545ebf8eebf7c68e | alobs_4cbfa705788c34262625
the boyd family farm,3,The Boyd Family Farm | THE BOYD FAMILY FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — u-pick map | PickYourOwn — North Alabama,Toney | Hazel Green,Madison,merged_exact_name_single_geography,alobs_91af72602d237376be12 | alobs_e3480f5d9d7b6f7c7162 | alobs_e9760359990d5111fba0
trinity farms,2,Trinity Farms,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Hope Hull,Lowndes,merged_exact_name_single_geography,alobs_196d7b75c32de9c93225 | alobs_5bd6cdb105bb0013f7ac
turks produce,2,Turk's Produce,Alabama Farmers Market Authority — farm-stand map | PickYourOwn — Southwest Alabama,Atmore,Escambia,merged_exact_name_single_geography,alobs_fb9f45e8e4b11ebb4c45 | alobs_351e607f012b0442c8cf
umphreys farm,2,Umphrey’s Farm | UMPHREY'S FARM,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Boaz,Etowah,merged_exact_name_single_geography,alobs_bc633f57fab17df42907 | alobs_d1024c8ee9eb41ff1e29
wadsworth blueberries,2,WADSWORTH BLUEBERRIES | Wadsworth Blueberries,Alabama Farmers Market Authority — u-pick map | PickYourOwn — Central Alabama,Cropwell,St. Clair,merged_exact_name_single_geography,alobs_7b0c408b602374399b5a | alobs_7ba39973800e5c7ac558
walding cattle,2,"Walding Cattle, LLC",Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Ariton,Dale,merged_exact_name_single_geography,alobs_722a390148437f57cc88 | alobs_d32148f002d0eccf26ae
whited farms,2,Whited Farms,Alabama FMA — 2026 statewide farm-stand roster | Sweet Grown Alabama — Farm members,Cleveland,Blount,merged_exact_name_single_geography,alobs_6eea96f5cd682bca26e7 | alobs_8901f9c54d0f4d9ce796
whites farm produce,2,Whites Farm/Produce | White's Farm Produce,Alabama FMA — 2026 statewide farm-stand roster | Alabama Farmers Market Authority — farm-stand map,Slocomb,Geneva,merged_exact_name_single_geography,alobs_5efb4a5fab2507485ad4 | alobs_b106982c797b574f3c18
wide open spaces,2,"Wide Open Spaces LLC | Wide Open Spaces, LLC",EatWild Alabama directory | Sweet Grown Alabama — Farm members,Hokes Bluff,Etowah,merged_exact_name_single_geography,alobs_72a60192cfd0d2591b65 | alobs_60ebc3aa9069c5f4ab04
willow farms,2,Willow Farms,PickYourOwn — Southeast Alabama | Sweet Grown Alabama — Farm members,Red Level,Covington,merged_exact_name_single_geography,alobs_98aa688a81cbe77b47fa | alobs_eff92051f1e04e30ec14
working cows dairy,3,Working Cows Dairy | | | Working Cows Dairy,Alabama Cattlemen’s Association — Bama Beef Sales Directory | EatWild Alabama directory | Sweet Grown Alabama — Farm members,Slocomb | Slocomb ,Geneva,merged_exact_name_single_geography,alobs_dd55f0262450bef19c1c | alobs_cd1fcd0562db021130b2 | alobs_ebe77f23832d02ed9775
youngblood ranch,2,Youngblood Ranch,Alabama Cattlemen’s Association — Bama Beef Sales Directory | Sweet Grown Alabama — Farm members,Haleyville,Franklin | Winston,merged_cross_county_shared_identity_preferred_geography,alobs_d771187f035ce3272ecd | alobs_bd37d27189baf7688125
